regulate	54
signal	42
cancer	37
pathway	34
inhibit	29
mutation	28
tumor	28
kinase	26
transcripts	26
domain	25
mediate	23
binds	23
phosphorylate	21
response	20
apoptosis	19
polymorphic	19
target	18
proliferator	17
carcinoma	16
region	15
receptor	15
reduce	14
tissue	14
high	13
subunit	13
leukemia	12
beta-catenin	12
mrna	12
independent	12
site	12
change	12
overexpressed	11
negative	11
provide	11
structure	11
cause	11
mitochondrial	11
depend	11
differential	11
distinct	11
inactivate	10
lead	10
loss	10
