cdna	27
clone	22
mrna	15
ubiquitylated	14
site	12
full-length	7
orf	7
lysine	7
cap	6
generate	6
5'-end-enriched	6
proteome	6
structure	6
full	6
length-enriched	5
start	5
collection	5
eukaryotic	5
ubiquitin-related	4
orfeome	4
candidate	4
among	4
replace	4
content	4
contains	4
regulates	4
unique	4
large-scale	3
rna	3
available	3
est	3
r-oligo	3
label	3
oligo-capped	3
oligoribonucleotide	3
frames	3
constructed	3
mgc	3
distribution	3
predicted	3
peak	3
approximately	3
chromosome	3
current	3
flj	3
database	3
complete	3
reading	3
open	3
condition	3
high	3
horfeome	3
