phosphorylate	45
apoptosis	38
pathway	23
regulate	19
survival	18
death	14
kinase	14
cancer	12
bcl-2	12
bax	12
apoptotic	11
mitochondria	10
inhibit	9
inactivate	9
bim	9
growth	9
akt	9
proapoptotic	8
mediates	8
dephosphorylated	8
pro-apoptotic	7
target	7
prevent	7
bcl-x(l	7
prostate	7
tumor	6
carcinoma	6
p53	6
caspase	6
release	6
mutated	6
translocation	6
modulates	6
response	6
protect	6
p-bad	5
anti-apoptotic	5
suppresses	5
thereby	5
reduced	5
domain	5
binds	5
bh3	5
bmf	5
bcl-xl	5
tumorigenesis	4
